modpos_hex,order,row,ms,speed,bpm,note
0x0312,3,18,21020.0,5,125,
0x0313,3,19,21120.0,5,125,
0x0314,3,20,21220.0,5,125,
0x0315,3,21,21320.0,5,125,
0x0316,3,22,21420.0,5,125,
0x0317,3,23,21520.0,5,125,
0x0318,3,24,21620.0,5,125,
0x0319,3,25,21720.0,5,125,
0x031a,3,26,21820.0,5,125,
0x031b,3,27,21920.0,5,125,
0x031c,3,28,22020.0,5,125,
0x031d,3,29,22120.0,5,125,
0x031e,3,30,22220.0,5,125,
0x031f,3,31,22320.0,5,125,
0x0320,3,32,22420.0,5,125,
0x0321,3,33,22520.0,5,125,
0x0322,3,34,22620.0,5,125,
0x0323,3,35,22720.0,5,125,
0x0324,3,36,22820.0,5,125,
0x0325,3,37,22920.0,5,125,
0x0326,3,38,23020.0,5,125,
0x0327,3,39,23120.0,5,125,
0x0328,3,40,23220.0,5,125,
0x0329,3,41,23320.0,5,125,
0x032a,3,42,23420.0,5,125,
0x032b,3,43,23520.0,5,125,
0x032c,3,44,23620.0,5,125,
0x032d,3,45,23720.0,5,125,
0x032e,3,46,23820.0,5,125,
0x032f,3,47,23920.0,5,125,
0x0330,3,48,24020.0,5,125,
0x0331,3,49,24120.0,5,125,
0x0332,3,50,24220.0,5,125,
0x0333,3,51,24320.0,5,125,
0x0334,3,52,24420.0,5,125,
0x0335,3,53,24520.0,5,125,
0x0336,3,54,24620.0,5,125,
0x0337,3,55,24720.0,5,125,
0x0338,3,56,24820.0,5,125,
0x0339,3,57,24920.0,5,125,
0x033a,3,58,25020.0,5,125,
0x033b,3,59,25120.0,5,125,
0x033c,3,60,25220.0,5,125,
0x033d,3,61,25320.0,5,125,
0x033e,3,62,25420.0,5,125,
0x033f,3,63,25520.0,5,125,
0x0400,4,0,25620.0,5,125,
0x0401,4,1,25720.0,5,128,
0x0402,4,2,25817.7,5,128,
0x0403,4,3,25915.3,5,128,
0x0404,4,4,26013.0,5,128,
0x0405,4,5,26110.6,5,128,
0x0406,4,6,26208.3,5,128,
0x0407,4,7,26305.9,5,128,
0x0408,4,8,26403.6,5,128,
0x0409,4,9,26501.3,5,128,
0x040a,4,10,26598.9,5,128,
0x040b,4,11,26696.6,5,128,
0x040c,4,12,26794.2,5,128,
0x040d,4,13,26891.9,5,128,
0x040e,4,14,26989.5,5,128,
0x040f,4,15,27087.2,5,128,
0x0410,4,16,27184.8,5,128,
0x0411,4,17,27282.5,5,128,
0x0412,4,18,27380.2,5,128,
0x0413,4,19,27477.8,5,128,
0x0414,4,20,27575.5,5,128,
0x0415,4,21,27673.1,5,128,
0x0416,4,22,27770.8,5,128,
0x0417,4,23,27868.4,5,128,
0x0418,4,24,27966.1,5,128,
0x0419,4,25,28063.8,5,128,
0x041a,4,26,28161.4,5,128,
0x041b,4,27,28259.1,5,128,
0x041c,4,28,28356.7,5,128,
0x041d,4,29,28454.4,5,128,
0x041e,4,30,28552.0,5,128,
0x041f,4,31,28649.7,5,128,
0x0420,4,32,28747.3,5,128,
0x0421,4,33,28845.0,5,128,
0x0422,4,34,28942.7,5,128,
0x0423,4,35,29040.3,5,128,
0x0424,4,36,29138.0,5,128,
0x0425,4,37,29235.6,5,128,
0x0426,4,38,29333.3,5,128,
0x0427,4,39,29430.9,5,128,
0x0428,4,40,29528.6,5,128,
0x0429,4,41,29626.3,5,128,
0x042a,4,42,29723.9,5,128,
0x042b,4,43,29821.6,5,128,
0x042c,4,44,29919.2,5,128,
0x042d,4,45,30016.9,5,128,
0x042e,4,46,30114.5,5,128,
0x042f,4,47,30212.2,5,128,
0x0430,4,48,30309.8,5,128,
0x0431,4,49,30407.5,5,128,
0x0432,4,50,30505.2,5,128,
0x0433,4,51,30602.8,5,128,
0x0434,4,52,30700.5,5,128,
0x0435,4,53,30798.1,5,128,
0x0436,4,54,30895.8,5,128,
0x0437,4,55,30993.4,5,128,
0x0438,4,56,31091.1,5,128,
0x0439,4,57,31188.8,5,128,
0x043a,4,58,31286.4,5,128,
0x043b,4,59,31384.1,5,128,
0x043c,4,60,31481.7,5,128,
0x043d,4,61,31579.4,5,128,
0x043e,4,62,31677.0,5,128,
0x043f,4,63,31774.7,5,128,
0x0500,5,0,31872.3,5,128,
0x0501,5,1,31970.0,5,128,
0x0502,5,2,32067.7,5,128,
0x0503,5,3,32165.3,5,128,
0x0504,5,4,32263.0,5,128,
0x0505,5,5,32360.6,5,128,
0x0506,5,6,32458.3,5,128,
0x0507,5,7,32555.9,5,128,
0x0508,5,8,32653.6,5,128,
0x0509,5,9,32751.3,5,128,
0x050a,5,10,32848.9,5,128,
0x050b,5,11,32946.6,5,128,
0x050c,5,12,33044.2,5,128,
0x050d,5,13,33141.9,5,128,
0x050e,5,14,33239.5,5,128,
0x050f,5,15,33337.2,5,128,
0x0510,5,16,33434.8,5,128,
0x0511,5,17,33532.5,5,128,
0x0512,5,18,33630.2,5,128,
0x0513,5,19,33727.8,5,128,
0x0514,5,20,33825.5,5,128,
0x0515,5,21,33923.1,5,128,
0x0516,5,22,34020.8,5,128,
0x0517,5,23,34118.4,5,128,
0x0518,5,24,34216.1,5,128,
0x0519,5,25,34313.8,5,128,
0x051a,5,26,34411.4,5,128,
0x051b,5,27,34509.1,5,128,
0x051c,5,28,34606.7,5,128,
0x051d,5,29,34704.4,5,128,
0x051e,5,30,34802.0,5,128,
0x051f,5,31,34899.7,5,128,
0x0520,5,32,34997.3,5,128,
0x0521,5,33,35095.0,5,128,
0x0522,5,34,35192.7,5,128,
0x0523,5,35,35290.3,5,128,
0x0524,5,36,35388.0,5,128,
0x0525,5,37,35485.6,5,128,
0x0526,5,38,35583.3,5,128,
0x0527,5,39,35680.9,5,128,
0x0528,5,40,35778.6,5,128,
0x0529,5,41,35876.3,5,128,
0x052a,5,42,35973.9,5,128,
0x052b,5,43,36071.6,5,128,
0x052c,5,44,36169.2,5,128,
0x052d,5,45,36266.9,5,128,
0x052e,5,46,36364.5,5,128,
0x052f,5,47,36462.2,5,128,
0x0530,5,48,36559.8,5,128,
0x0531,5,49,36657.5,5,128,
0x0532,5,50,36755.2,5,128,
0x0533,5,51,36852.8,5,128,
0x0534,5,52,36950.5,5,128,
0x0535,5,53,37048.1,5,128,
0x0536,5,54,37145.8,5,128,
0x0537,5,55,37243.4,5,128,
0x0538,5,56,37341.1,5,128,
0x0539,5,57,37438.8,5,128,
0x053a,5,58,37536.4,5,128,
0x053b,5,59,37634.1,5,128,
0x053c,5,60,37731.7,5,128,
0x053d,5,61,37829.4,5,128,
0x053e,5,62,37927.0,5,128,
0x053f,5,63,38024.7,5,128,
0x0600,6,0,38122.3,5,128,
0x0601,6,1,38220.0,5,128,
0x0602,6,2,38317.7,5,128,
0x0603,6,3,38415.3,5,128,
0x0604,6,4,38513.0,5,128,
0x0605,6,5,38610.6,5,128,
0x0606,6,6,38708.3,5,128,
0x0607,6,7,38805.9,5,128,
0x0608,6,8,38903.6,5,128,
0x0609,6,9,39001.3,5,128,
0x060a,6,10,39098.9,5,128,
0x060b,6,11,39196.6,5,128,
0x060c,6,12,39294.2,5,128,
0x060d,6,13,39391.9,5,128,
0x060e,6,14,39489.5,5,128,
0x060f,6,15,39587.2,5,128,
0x0610,6,16,39684.8,5,128,
0x0611,6,17,39782.5,5,128,
0x0612,6,18,39880.2,5,128,
0x0613,6,19,39977.8,5,128,
0x0614,6,20,40075.5,5,128,
0x0615,6,21,40173.1,5,128,
0x0616,6,22,40270.8,5,128,
0x0617,6,23,40368.4,5,128,
0x0618,6,24,40466.1,5,128,
0x0619,6,25,40563.8,5,128,
0x061a,6,26,40661.4,5,128,
0x061b,6,27,40759.1,5,128,
0x061c,6,28,40856.7,5,128,
0x061d,6,29,40954.4,5,128,
0x061e,6,30,41052.0,5,128,
0x061f,6,31,41149.7,5,128,
0x0620,6,32,41247.3,5,128,
0x0621,6,33,41345.0,5,128,
0x0622,6,34,41442.7,5,128,
0x0623,6,35,41540.3,5,128,
0x0624,6,36,41638.0,5,128,
0x0625,6,37,41735.6,5,128,
0x0626,6,38,41833.3,5,128,
0x0627,6,39,41930.9,5,128,
0x0628,6,40,42028.6,5,128,
0x0629,6,41,42126.3,5,128,
0x062a,6,42,42223.9,5,128,
0x062b,6,43,42321.6,5,128,
0x062c,6,44,42419.2,5,128,
0x062d,6,45,42516.9,5,128,
0x062e,6,46,42614.5,5,128,
0x062f,6,47,42712.2,5,128,
0x0630,6,48,42809.8,5,128,
0x0631,6,49,42907.5,5,128,
0x0632,6,50,43005.2,5,128,
0x0633,6,51,43102.8,5,128,
0x0634,6,52,43200.5,5,128,
0x0635,6,53,43298.1,5,128,
0x0636,6,54,43395.8,5,128,
0x0637,6,55,43493.4,5,128,
0x0638,6,56,43591.1,5,128,
